Insulation Thickness,ACH,shading temperature,shading irradiation,glazing layers,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0.35,2.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,6.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,0.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,4.0,28.0,240.0,3,2541.1825185986163,11074.992350151859,392.6199981183999
0.35,0.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,6.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,2.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,4.0,28.0,80.0,3,2545.476816702783,11074.992786099088,390.70138003559936
0.35,6.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,2.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,4.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,0.0,28.0,300.0,3,2539.2619944527833,11074.998693534397,394.72336229860116
0.35,4.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,0.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,6.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,2.0,28.0,120.0,3,2544.5704458069495,11074.999391009087,390.8548903166357
0.35,2.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,4.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,0.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,6.0,24.0,240.0,3,2591.6338625777826,11075.098225036118,235.43093916038364
0.35,6.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,0.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,2.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,4.0,24.0,300.0,3,2582.119752890283,11075.100076710056,242.12237798352783
0.35,6.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,4.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,2.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,0.0,24.0,80.0,3,2617.5050916611162,11075.114842240737,227.15886689339786
0.35,2.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,6.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,0.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,4.0,24.0,120.0,3,2610.0503950361167,11075.115097827016,227.76244591522223
0.35,4.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,6.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,2.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,0.0,28.0,80.0,2,2487.4631649527832,11077.28389726915,506.3735664651662
0.35,0.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,2.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,4.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,6.0,28.0,240.0,2,2483.4246827236166,11077.286831801985,510.1041038977455
0.35,2.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,4.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,6.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,0.0,28.0,120.0,2,2486.564844536116,11077.28820930433,506.81892724806534
0.35,6.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,2.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,4.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,0.0,28.0,300.0,2,2481.7802199319494,11077.28840045291,512.6094753299792
0.35,4.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,6.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,0.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,2.0,24.0,240.0,2,2526.7100964111164,11077.382362185985,304.9538988012092
0.35,4.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,2.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,0.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,6.0,24.0,300.0,2,2518.02010099445,11077.38412866237,313.8080773639507
0.35,4.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,2.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,6.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,0.0,24.0,80.0,2,2552.7187151611165,11077.387949397527,294.1812268004567
0.35,0.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,6.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,4.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,2.0,24.0,120.0,2,2544.8749796819498,11077.399589145793,293.9705368750656
0.35,6.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,4.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,0.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,2.0,20.0,300.0,3,2627.734363161116,11084.639701756214,138.43846858722355
0.35,4.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,6.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,2.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.35,0.0,20.0,240.0,3,2649.0876297652826,11086.014521119438,128.77868284859082
0.3,6.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,4.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,0.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,2.0,28.0,80.0,3,2545.476816702783,11086.141094852866,390.80187294840914
0.3,6.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,4.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,2.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,0.0,28.0,120.0,3,2544.5704458069495,11086.144249631208,390.40930086017664
0.3,0.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,4.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,2.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,6.0,28.0,240.0,3,2541.1825185986163,11086.164448884057,392.2043843247756
0.3,0.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,4.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,2.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,6.0,28.0,300.0,3,2539.2619944527833,11086.180725800921,394.36706369944307
0.3,4.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,6.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,0.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,2.0,24.0,300.0,3,2582.119752890283,11086.258854995785,241.6891137885588
0.3,6.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,0.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,4.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,2.0,24.0,240.0,3,2591.6338625777826,11086.2597955687,235.6763721390116
0.3,6.0,24.0,80.0,3,2617.5050916611162,11086.267531497815,227.07855564810254
0.3,4.0,24.0,80.0,3,2617.5050916611162,11086.267531497815,227.07855564810254
0.3,0.0,24.0,80.0,3,2617.5050916611162,11086.267531497815,227.07855564810254
0.3,2.0,24.0,80.0,3,2617.5050916611162,11086.267531497815,227.07855564810254
0.3,4.0,24.0,120.0,3,2610.0503950361167,11086.270127231679,227.60023021017682
0.3,2.0,24.0,120.0,3,2610.0503950361167,11086.270127231679,227.60023021017682
0.3,6.0,24.0,120.0,3,2610.0503950361167,11086.270127231679,227.60023021017682
0.3,0.0,24.0,120.0,3,2610.0503950361167,11086.270127231679,227.60023021017682
0.35,6.0,20.0,120.0,3,2689.981589452783,11087.42476232521,118.13767477350801
0.35,4.0,20.0,120.0,3,2689.981589452783,11087.42476232521,118.13767477350801
0.35,0.0,20.0,120.0,3,2689.981589452783,11087.42476232521,118.13767477350801
0.35,2.0,20.0,120.0,3,2689.981589452783,11087.42476232521,118.13767477350801
0.35,6.0,20.0,80.0,3,2705.57795161945,11087.451666716099,117.29976872513548
0.35,4.0,20.0,80.0,3,2705.57795161945,11087.451666716099,117.29976872513548
0.35,2.0,20.0,80.0,3,2705.57795161945,11087.451666716099,117.29976872513548
0.35,0.0,20.0,80.0,3,2705.57795161945,11087.451666716099,117.29976872513548
0.35,2.0,20.0,300.0,2,2560.82191636945,11087.944749826924,170.4632486881646
0.35,6.0,20.0,300.0,2,2560.82191636945,11087.944749826924,170.4632486881646
0.35,0.0,20.0,300.0,2,2560.82191636945,11087.944749826924,170.4632486881646
0.35,4.0,20.0,300.0,2,2560.82191636945,11087.944749826924,170.4632486881646
0.3,6.0,28.0,300.0,2,2481.7802199319494,11088.715578977835,512.8440039822764
0.3,4.0,28.0,300.0,2,2481.7802199319494,11088.715578977835,512.8440039822764
0.3,0.0,28.0,300.0,2,2481.7802199319494,11088.715578977835,512.8440039822764
0.3,2.0,28.0,300.0,2,2481.7802199319494,11088.715578977835,512.8440039822764
0.3,2.0,28.0,240.0,2,2483.4246827236166,11088.71909829258,509.5624170972397
0.3,0.0,28.0,240.0,2,2483.4246827236166,11088.71909829258,509.5624170972397
0.3,6.0,28.0,240.0,2,2483.4246827236166,11088.71909829258,509.5624170972397
0.3,4.0,28.0,240.0,2,2483.4246827236166,11088.71909829258,509.5624170972397
0.3,0.0,28.0,80.0,2,2487.4631649527832,11088.719543918138,507.11262315263536
0.3,2.0,28.0,80.0,2,2487.4631649527832,11088.719543918138,507.11262315263536
0.3,6.0,28.0,80.0,2,2487.4631649527832,11088.719543918138,507.11262315263536
0.3,4.0,28.0,80.0,2,2487.4631649527832,11088.719543918138,507.11262315263536
0.3,6.0,28.0,120.0,2,2486.564844536116,11088.7208155562,507.0042163102583
0.3,0.0,28.0,120.0,2,2486.564844536116,11088.7208155562,507.0042163102583
0.3,2.0,28.0,120.0,2,2486.564844536116,11088.7208155562,507.0042163102583
0.3,4.0,28.0,120.0,2,2486.564844536116,11088.7208155562,507.0042163102583
0.3,6.0,24.0,300.0,2,2518.02010099445,11088.811649981411,314.00278461457884
0.3,2.0,24.0,300.0,2,2518.02010099445,11088.811649981411,314.00278461457884
0.3,0.0,24.0,300.0,2,2518.02010099445,11088.811649981411,314.00278461457884
0.3,4.0,24.0,300.0,2,2518.02010099445,11088.811649981411,314.00278461457884
0.3,4.0,24.0,80.0,2,2552.7187151611165,11088.82780681507,293.70504384606363
0.3,2.0,24.0,80.0,2,2552.7187151611165,11088.82780681507,293.70504384606363
0.3,6.0,24.0,80.0,2,2552.7187151611165,11088.82780681507,293.70504384606363
0.3,0.0,24.0,80.0,2,2552.7187151611165,11088.82780681507,293.70504384606363
0.3,6.0,24.0,120.0,2,2544.8749796819498,11088.830376235674,294.32848350307853
0.3,0.0,24.0,120.0,2,2544.8749796819498,11088.830376235674,294.32848350307853
0.3,2.0,24.0,120.0,2,2544.8749796819498,11088.830376235674,294.32848350307853
0.3,4.0,24.0,120.0,2,2544.8749796819498,11088.830376235674,294.32848350307853
0.3,0.0,24.0,240.0,2,2526.7100964111164,11088.83131182917,304.99144563766333
0.3,2.0,24.0,240.0,2,2526.7100964111164,11088.83131182917,304.99144563766333
0.3,4.0,24.0,240.0,2,2526.7100964111164,11088.83131182917,304.99144563766333
0.3,6.0,24.0,240.0,2,2526.7100964111164,11088.83131182917,304.99144563766333
0.35,6.0,20.0,240.0,2,2581.4141372444496,11089.914181548957,156.6470829285963
0.35,4.0,20.0,240.0,2,2581.4141372444496,11089.914181548957,156.6470829285963
0.35,2.0,20.0,240.0,2,2581.4141372444496,11089.914181548957,156.6470829285963
0.35,0.0,20.0,240.0,2,2581.4141372444496,11089.914181548957,156.6470829285963
0.35,4.0,20.0,120.0,2,2622.5698477861165,11091.676400581387,142.20275355790687
0.35,2.0,20.0,120.0,2,2622.5698477861165,11091.676400581387,142.20275355790687
0.35,6.0,20.0,120.0,2,2622.5698477861165,11091.676400581387,142.20275355790687
0.35,0.0,20.0,120.0,2,2622.5698477861165,11091.676400581387,142.20275355790687
0.35,6.0,20.0,80.0,2,2638.784114015283,11091.826323042133,141.30836542633654
0.35,2.0,20.0,80.0,2,2638.784114015283,11091.826323042133,141.30836542633654
0.35,0.0,20.0,80.0,2,2638.784114015283,11091.826323042133,141.30836542633654
0.35,4.0,20.0,80.0,2,2638.784114015283,11091.826323042133,141.30836542633654
0.3,6.0,20.0,300.0,3,2627.734363161116,11095.795985557985,138.39779397858953
0.3,0.0,20.0,300.0,3,2627.734363161116,11095.795985557985,138.39779397858953
0.3,2.0,20.0,300.0,3,2627.734363161116,11095.795985557985,138.39779397858953
0.3,4.0,20.0,300.0,3,2627.734363161116,11095.795985557985,138.39779397858953
0.3,2.0,20.0,240.0,3,2649.0876297652826,11097.204976002085,128.44954749512814
0.3,6.0,20.0,240.0,3,2649.0876297652826,11097.204976002085,128.44954749512814
0.3,4.0,20.0,240.0,3,2649.0876297652826,11097.204976002085,128.44954749512814
0.3,0.0,20.0,240.0,3,2649.0876297652826,11097.204976002085,128.44954749512814
0.3,0.0,20.0,120.0,3,2689.981589452783,11098.557295164315,117.97745239889649
0.3,2.0,20.0,120.0,3,2689.981589452783,11098.557295164315,117.97745239889649
0.3,4.0,20.0,120.0,3,2689.981589452783,11098.557295164315,117.97745239889649
0.3,6.0,20.0,120.0,3,2689.981589452783,11098.557295164315,117.97745239889649
0.3,6.0,20.0,80.0,3,2705.57795161945,11098.590728752897,117.29337658464353
0.3,4.0,20.0,80.0,3,2705.57795161945,11098.590728752897,117.29337658464353
0.3,2.0,20.0,80.0,3,2705.57795161945,11098.590728752897,117.29337658464353
0.3,0.0,20.0,80.0,3,2705.57795161945,11098.590728752897,117.29337658464353
0.3,2.0,20.0,300.0,2,2560.82191636945,11099.515809871127,170.13681521316903
0.3,6.0,20.0,300.0,2,2560.82191636945,11099.515809871127,170.13681521316903
0.3,4.0,20.0,300.0,2,2560.82191636945,11099.515809871127,170.13681521316903
0.3,0.0,20.0,300.0,2,2560.82191636945,11099.515809871127,170.13681521316903
0.25,4.0,28.0,240.0,3,2541.1825185986163,11101.0063305587,392.2513758922504
0.25,6.0,28.0,240.0,3,2541.1825185986163,11101.0063305587,392.2513758922504
0.25,2.0,28.0,240.0,3,2541.1825185986163,11101.0063305587,392.2513758922504
0.25,0.0,28.0,240.0,3,2541.1825185986163,11101.0063305587,392.2513758922504
0.25,0.0,28.0,80.0,3,2545.476816702783,11101.010344544216,390.2639936395747
0.25,2.0,28.0,80.0,3,2545.476816702783,11101.010344544216,390.2639936395747
0.25,4.0,28.0,80.0,3,2545.476816702783,11101.010344544216,390.2639936395747
0.25,6.0,28.0,80.0,3,2545.476816702783,11101.010344544216,390.2639936395747
0.25,2.0,28.0,300.0,3,2539.2619944527833,11101.010908230957,394.55390233028896
0.25,6.0,28.0,300.0,3,2539.2619944527833,11101.010908230957,394.55390233028896
0.25,0.0,28.0,300.0,3,2539.2619944527833,11101.010908230957,394.55390233028896
0.25,4.0,28.0,300.0,3,2539.2619944527833,11101.010908230957,394.55390233028896
0.25,0.0,28.0,120.0,3,2544.5704458069495,11101.011333723613,390.2524492304862
0.25,4.0,28.0,120.0,3,2544.5704458069495,11101.011333723613,390.2524492304862
0.25,6.0,28.0,120.0,3,2544.5704458069495,11101.011333723613,390.2524492304862
0.25,2.0,28.0,120.0,3,2544.5704458069495,11101.011333723613,390.2524492304862
0.25,2.0,24.0,240.0,3,2591.6338625777826,11101.092495955756,235.67411157666845
0.25,4.0,24.0,240.0,3,2591.6338625777826,11101.092495955756,235.67411157666845
0.25,6.0,24.0,240.0,3,2591.6338625777826,11101.092495955756,235.67411157666845
0.25,0.0,24.0,240.0,3,2591.6338625777826,11101.092495955756,235.67411157666845
0.25,6.0,24.0,300.0,3,2582.119752890283,11101.097000807387,241.5464076368193
0.25,0.0,24.0,300.0,3,2582.119752890283,11101.097000807387,241.5464076368193
0.25,4.0,24.0,300.0,3,2582.119752890283,11101.097000807387,241.5464076368193
0.25,2.0,24.0,300.0,3,2582.119752890283,11101.097000807387,241.5464076368193
0.25,6.0,24.0,80.0,3,2617.5050916611162,11101.105525622957,227.05159404306647
0.25,4.0,24.0,80.0,3,2617.5050916611162,11101.105525622957,227.05159404306647
0.25,2.0,24.0,80.0,3,2617.5050916611162,11101.105525622957,227.05159404306647
0.25,0.0,24.0,80.0,3,2617.5050916611162,11101.105525622957,227.05159404306647
0.25,4.0,24.0,120.0,3,2610.0503950361167,11101.112479562122,227.82854419743177
0.25,2.0,24.0,120.0,3,2610.0503950361167,11101.112479562122,227.82854419743177
0.25,0.0,24.0,120.0,3,2610.0503950361167,11101.112479562122,227.82854419743177
0.25,6.0,24.0,120.0,3,2610.0503950361167,11101.112479562122,227.82854419743177
0.3,0.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
0.3,2.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
0.3,6.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
